Name,Acronym
Presidential Broadcast Staff- Radio Television Malacañang,RTVM
Presidential Commission for the Urban Poor,
Presidential Commission on Good Government,
Presidential Communication Operations Office,
Presidential Legislative Liaison Office,
Presidential Management Staff,
Privatization and Management Office,PMO
Procurement Service,
Professional Regulation Commission,
Public Attorney’s Office,
Public-Private Partnership Center of the Philippines,PPCP
Quirino State College,
Rizal Technological University,
Samar State University,
Science and Technology Information Institute,STII
Science Education Institute,SEI
Securities and Exchange Commission,SEC
Siquijor State College,
Sorsogon State College,
Southern Luzon State University,
"Southern Philippines Agri Business, Marine and Aquatic School of Technology",
Subic Bay Metropolitan Authority,
Sultan Kudarat State University,
Sulu State College,
Surigao Del Sur State University,
Surigao State College of Technology,
Tariff Commission,
Tarlac College of Agriculture,
Tarlac Agricultural University,
Tarlac State University,
Technical Cooperation Council of the Philippines,
Technical Education and Skills Development Authority,
Technological University of the Philippines,
Technology Application and Promotion Institute,TAPI
Toll Regulatory Board,TRB
UNESCO National Commission of the Philippines,
University of Antique,
University of Northern Philippines,
University of Rizal System,
University of Southeastern Philippines,
University of Southern Mindanao,
University of the Philippines System,
Veterans Memorial Medical Center,
Visayas State University,
West Visayas State University,
Western Mindanao State University,
Western Philippines University,
